request_id,sub_trip_id,is_parent_request,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
19,6.0,False,BasicMultimodalRequest,1,1500,2281.9344120450037,2966,2980,,,,,183.90759926902774,1524.5518896897763,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
19,7.0,False,BasicMultimodalRequest,1,1500,2608.0,2980,2975,,,,,247.9845368487133,1626.0377257852747,,,,,,,,,RQ_MODAL_STATE.FIRSTLASTMILE
21,,True,BasicMultimodalRequest,1,1620,1620.0,2978,2966,,,,,269.5629981189138,2401.663750782787,"-2:t_wait:571;t_drive:660;fare:0;pt_source_station:s13;pt_target_station:s1;t_source_transfer:0;t_source_walk:29;t_target_walk:60;pt_journey_transfers:2|((0, 1), (-2, 2)):t_wait:123.43998432992112;t_drive:170.14497795937018;fare:112;t_source_walk:28;t_pt_wait:129;t_pt_trip:180;t_target_walk:60;pt_journey_transfers:0;pt_source_station:s15;pt_target_station:s1",,"((0, 1), (-2, 2))",,,,,112.0,RQ_MODAL_STATE.FIRSTMILE
22,,True,BasicMultimodalRequest,1,1620,1620.0,2966,2982,,,,,260.99377065926006,2575.122827130567,"-2:t_wait:120;t_drive:810;fare:0;pt_source_station:s1;pt_target_station:s13;t_source_transfer:0;t_source_walk:60;t_target_walk:21;pt_journey_transfers:2|((-2, 3), (0, 4)):t_wait:388;t_drive:201.36338281880398;fare:107;t_source_walk:60;t_pt_wait:120;t_pt_trip:180;t_target_walk:28;pt_journey_transfers:0;pt_source_station:s1;pt_target_station:s15",,"((-2, 3), (0, 4))",,,,,107.0,RQ_MODAL_STATE.LASTMILE
21,8.0,False,BasicMultimodalRequest,1,1620,1620.0,2978,2966,,,,,269.5629981189138,2401.663750782787,-2:t_wait:571;t_drive:660;fare:0;pt_source_station:s13;pt_target_station:s1;t_source_transfer:0;t_source_walk:29;t_target_walk:60;pt_journey_transfers:2,,,,,,,,RQ_MODAL_STATE.FIRSTMILE
21,2.0,False,BasicMultimodalRequest,1,1620,1943.5849622892913,2980,2966,,,28,60,280.00167958811517,1989.2821103102237,-2:t_wait:129;t_drive:180;fare:0;pt_source_station:s15;pt_target_station:s1;t_source_transfer:0;t_source_walk:28;t_target_walk:60;pt_journey_transfers:0,,,-2.0,-1.0,1971.0,2280.0,,RQ_MODAL_STATE.FIRSTMILE
22,8.0,False,BasicMultimodalRequest,1,1620,1620.0,2966,2982,,,,,260.99377065926006,2575.122827130567,-2:t_wait:120;t_drive:810;fare:0;pt_source_station:s1;pt_target_station:s13;t_source_transfer:0;t_source_walk:60;t_target_walk:21;pt_journey_transfers:2,,,,,,,,RQ_MODAL_STATE.LASTMILE
22,3.0,False,BasicMultimodalRequest,1,1620,1620.0,2966,2980,,,60,28,183.90759926902774,1524.5518896897763,-2:t_wait:120;t_drive:180;fare:0;pt_source_station:s1;pt_target_station:s15;t_source_transfer:0;t_source_walk:60;t_target_walk:28;pt_journey_transfers:0,,,-2.0,-1.0,1680.0,1980.0,,RQ_MODAL_STATE.LASTMILE
23,,True,BasicMultimodalRequest,1,1680,1680.0,2967,2980,,,,,196.20737569911694,2352.022146274757,"-2:t_wait:573;t_drive:600;fare:0;pt_source_station:s2;pt_target_station:s15;t_source_transfer:0;t_source_walk:27;t_target_walk:28;pt_journey_transfers:2|((0, 1), (-2, 2)):t_wait:170.41917671276633;t_drive:189.58082328723367;fare:135;t_source_walk:60;t_pt_wait:270;t_pt_trip:180;t_target_walk:28;pt_journey_transfers:0;pt_source_station:s1;pt_target_station:s15",,"((0, 1), (-2, 2))",,,,,135.0,RQ_MODAL_STATE.FIRSTMILE
24,,True,BasicMultimodalRequest,1,1680,1680.0,2966,2977,,,,,287.9130379015735,2229.632454149845,"-2:t_wait:60;t_drive:870;fare:0;pt_source_station:s1;pt_target_station:s12;t_source_transfer:0;t_source_walk:60;t_target_walk:17;pt_journey_transfers:2|((-2, 3), (0, 4)):t_wait:328;t_drive:311.03528091826;fare:162;t_source_walk:60;t_pt_wait:60;t_pt_trip:180;t_target_walk:28;pt_journey_transfers:0;pt_source_station:s1;pt_target_station:s15",,"((-2, 3), (0, 4))",,,,,162.0,RQ_MODAL_STATE.LASTMILE
